date,exchange,reserve_btc
2023-08-02,bitfinex,-52.88668504
2023-08-02,okx,31202.3
2023-08-03,binance,8316.08905746
2023-08-03,okx,31553.3
2023-08-04,binance,8066.31729727
2023-08-05,binance,11505.94420681
2023-08-06,binance,9459.29897101
2023-08-07,binance,9897.08016801
2023-08-07,okx,32404.3
2023-08-08,binance,9692.860465
2023-08-08,okx,32755.3
2023-08-09,binance,9803.2776898
2023-08-10,binance,10690.13503977
2023-08-11,binance,10119.32964693
2023-08-12,binance,11801.22324832
2023-08-13,binance,11850.5302818
2023-08-14,binance,15199.4384144
2023-08-15,binance,15555.35876022
2023-08-16,binance,19185.54663586
2023-08-17,binance,20247.01029525
2023-08-17,okx,32405.3
2023-08-18,binance,20334.28499506
2023-08-19,binance,18385.1529973
2023-08-19,okx,30905.3
2023-08-20,binance,16300.8386067
2023-08-20,bitfinex,-800.461884
2023-08-21,binance,11869.91728496
2023-08-21,bitfinex,-385.679694
2023-08-22,binance,10897.20382567
2023-08-22,okx,31906.3
2023-08-23,binance,7336.73838139
2023-08-23,okx,30909.3
2023-08-24,binance,8707.80768188
2023-08-24,bitfinex,-4385.679879
2023-08-25,binance,6863.74140284
2023-08-26,binance,9613.0612311
2023-08-27,binance,9798.23598762
2023-08-28,binance,8938.40155684
2023-08-28,bitfinex,-3945.038969
2023-08-29,binance,2947.76501925
2023-08-30,binance,778.00886354
2023-08-30,okx,31260.3
2023-08-31,binance,4258.5603046
2023-09-01,binance,10141.65164687
2023-09-01,bitfinex,-2586.966009
2023-09-02,binance,9962.53806905
2023-09-03,binance,7921.11757294
2023-09-04,binance,4884.45127677
2023-09-05,binance,6795.16579938
2023-09-06,binance,5818.16090481
2023-09-07,binance,5905.8885361
2023-09-08,binance,1487.53161052
2023-09-08,bitfinex,-1552.88668504
2023-09-09,binance,827.26202516
2023-09-10,binance,-68.75977202
2023-09-11,binance,3406.25577923
2023-09-12,binance,1625.45242447
2023-09-13,binance,1188.52109674
2023-09-14,binance,151.46346332
2023-09-15,binance,-1427.08102643
2023-09-16,binance,-1492.99560297
2023-09-17,binance,-2288.86090896
2023-09-18,binance,-4824.88118094
2023-09-18,bitfinex,-1853.539059
2023-09-19,binance,-5966.34323125
2023-09-20,binance,-5432.08278703
2023-09-20,bitfinex,-4853.539449
2023-09-21,binance,-5605.29126721
2023-09-22,binance,-1227.84512824
2023-09-23,binance,-1577.81078201
2023-09-24,binance,-22839.67323581
2023-09-25,binance,-22132.02808412
2023-09-26,binance,-20227.55385617
2023-09-26,okx,31260.298
2023-09-27,binance,-19613.07517085
2023-09-27,bitfinex,-4162.997649
2023-09-28,binance,-19602.5534133
2023-09-28,bitfinex,-4042.779269
2023-09-29,binance,-22270.99269692
2023-09-30,binance,-20819.52311517
2023-09-30,bitfinex,-5543.177891
2023-10-01,binance,-22428.71732918
2023-10-01,bitfinex,-3535.584231
2023-10-02,binance,-357.75662074
2023-10-02,bitfinex,-13618.21792404
2023-10-02,okx,30760.298006
2023-10-03,binance,-21860.75562589
2023-10-03,bitfinex,10000.10166639
2023-10-04,binance,-25241.98997669
2023-10-04,bitfinex,-2561.376071
2023-10-05,binance,-23509.63389087
